X,Y,STOP_ID,building_area,civic,commercial,residential,industrial,SN_cat,Crosstown_cat,Express_cat,Local_cat,Flyer_cat,NightOwl_cat,HighFreq_cat,InOut_cat,Clockwise_cat,hotline_1,utshuttle_cat,Special_cat,school_count,stadium_count,medInc,count,population,mean_on,r7,r801,r10,r20,r803,r300,typology,label,pred_xgb,xgb,Differences
-97.74633874,30.27896561,243,1342452.814,0.053925868,0.105620348,0.372373047,0.009466001,0,0,0,0,0,0,1,0,0,0,0,0,14,1,62604,122.6,300,247.7815325,0,0,0,0,0,0,CBD,Downtown,227.299077,227.299077,0
-97.70106551,30.35680916,466,497967.0817,0.004934462,0.028362241,0.94380601,0.004390764,1,0,0,others,0,others,0,0,0,0,0,0,19,1,36806,92,417,224.5132655,0,0,0,0,0,0,Rest,North Austin Civic Association,271.599003,271.599003,0
-97.7031279,30.35529611,467,591459.4918,0.00227577,0.025239253,0.932189095,0.015350852,1,0,0,others,0,others,0,0,0,0,0,0,13,1,36806,92,410,749.240588,0,0,0,0,0,0,Rest,North Austin Civic Association,504.6145836,504.6145836,0
-97.70608203,30.35313912,468,762142.6934,0.007926178,0.03571086,0.908335756,0.019881022,1,0,0,others,0,others,0,0,0,0,0,0,12,1,36806,92,392,226.0445381,0,0,0,0,0,0,Rest,North Austin Civic Association,240.0337763,240.0337763,0
-97.70729488,30.3522556,469,993710.3891,0.010480483,0.037170573,0.901159045,0.022426316,1,0,0,others,0,others,0,0,0,0,0,0,10,1,36806,92,380,223.7870881,0,0,0,0,0,0,Rest,North Austin Civic Association,249.7139653,249.7139653,0
-97.71396555,30.34604383,471,1360701.5,0.004325311,0.044986691,0.852415289,0.012448021,1,0,0,1,0,0,0,0,0,0,0,0,8,1,110226,73,308,306.4634055,0,0,0,0,0,0,Rest,Crestview,276.5017578,276.5017578,0
-97.71565314,30.34316334,472,730165.1314,0.005021788,0.027886638,0.897175508,0.004878371,1,0,0,others,0,others,0,0,0,0,0,0,8,1,110226,92,281,214.0736033,0,0,0,0,0,0,Rest,Crestview,210.6419231,210.6419231,0
-97.72000555,30.33620383,474,1050987.844,0.004327846,0.034692659,0.901929549,0.010683166,1,0,0,others,0,others,0,0,0,0,0,0,1,1,61333,92.2,190,201.6488428,0,0,0,0,0,0,Rest,Brentwood,201.2014223,201.2014223,0
-97.72132218,30.33410928,475,1032585.442,0.010188753,0.039902674,0.902545955,0.013609627,1,0,0,others,0,others,0,0,0,0,0,0,5,1,61333,92.2,168,204.0964557,0,0,0,0,0,0,Rest,Brentwood,191.4185214,191.4185214,0
-97.72363629,30.33042504,476,1295766.685,0.014005821,0.055424959,0.87204553,0.018667969,1,0,0,others,0,others,0,0,0,0,0,0,43,1,61333,91.8,155,208.5991527,0,0,0,0,0,0,Rest,Brentwood,223.5555351,223.5555351,0
-97.72752755,30.32424683,480,1012472.094,0.023275732,0.032973162,0.91541515,0.002641761,1,0,0,others,0,others,0,0,0,0,0,0,56,1,72266,92.2,162,213.8799985,0,0,0,0,0,0,Rest,Brentwood,237.1361871,237.1361871,0
-97.7293736,30.32130784,482,1692442.186,0.027435406,0.027706953,0.914469976,0.001715225,1,0,0,others,0,others,0,0,0,0,0,0,27,1,72266,92.2,166,181.33335,0,0,0,0,0,0,Rest,Brentwood,234.9521925,234.9521925,0
